barrio,tipo_anomalia,year,month,water_table_depth_m,monthly_change_m,precip_mm,precip_adjusted_wt_change,water_table_zscore,wt_rising_anomaly,source
8-ALIPARK,normal,2022,1,3.82,-0.433,18.2,-0.214,-0.2,0,IGME SINAS Masa 080.006 (synthetic)
8-ALIPARK,normal,2022,2,3.86,-0.427,29.1,-0.078,-0.16,0,IGME SINAS Masa 080.006 (synthetic)
8-ALIPARK,normal,2022,3,3.87,-0.396,21.6,-0.137,-0.14,0,IGME SINAS Masa 080.006 (synthetic)
8-ALIPARK,normal,2022,4,3.78,-0.403,25.1,-0.102,-0.24,0,IGME SINAS Masa 080.006 (synthetic)
8-ALIPARK,normal,2022,5,3.81,-0.49,27.8,-0.156,-0.21,0,IGME SINAS Masa 080.006 (synthetic)
8-ALIPARK,normal,2022,6,4.19,-0.089,9.2,0.022,0.21,0,IGME SINAS Masa 080.006 (synthetic)
8-ALIPARK,normal,2022,7,4.12,-0.109,6.2,-0.035,0.13,0,IGME SINAS Masa 080.006 (synthetic)
8-ALIPARK,normal,2022,8,4.11,-0.155,8.0,-0.058,0.12,0,IGME SINAS Masa 080.006 (synthetic)
8-ALIPARK,normal,2022,9,3.53,-0.711,40.0,-0.231,-0.52,0,IGME SINAS Masa 080.006 (synthetic)
8-ALIPARK,normal,2022,10,3.47,-0.737,49.1,-0.148,-0.59,0,IGME SINAS Masa 080.006 (synthetic)
8-ALIPARK,normal,2022,11,3.81,-0.432,27.7,-0.099,-0.21,0,IGME SINAS Masa 080.006 (synthetic)
8-ALIPARK,normal,2022,12,4.02,-0.277,24.0,0.011,0.02,0,IGME SINAS Masa 080.006 (synthetic)
8-ALIPARK,normal,2023,1,3.98,-0.248,20.4,-0.004,-0.02,0,IGME SINAS Masa 080.006 (synthetic)
8-ALIPARK,normal,2023,2,3.97,-0.298,20.2,-0.056,-0.03,0,IGME SINAS Masa 080.006 (synthetic)
8-ALIPARK,normal,2023,3,3.87,-0.404,18.0,-0.188,-0.14,0,IGME SINAS Masa 080.006 (synthetic)
8-ALIPARK,normal,2023,4,3.9,-0.351,28.0,-0.016,-0.11,0,IGME SINAS Masa 080.006 (synthetic)
8-ALIPARK,normal,2023,5,3.93,-0.387,21.9,-0.125,-0.08,0,IGME SINAS Masa 080.006 (synthetic)
8-ALIPARK,normal,2023,6,4.19,-0.04,8.5,0.062,0.21,0,IGME SINAS Masa 080.006 (synthetic)
8-ALIPARK,normal,2023,7,4.11,-0.081,5.4,-0.017,0.12,0,IGME SINAS Masa 080.006 (synthetic)
8-ALIPARK,normal,2023,8,4.45,0.116,-1.9,0.093,0.5,0,IGME SINAS Masa 080.006 (synthetic)
8-ALIPARK,normal,2023,9,3.43,-0.741,32.2,-0.355,-0.63,0,IGME SINAS Masa 080.006 (synthetic)
8-ALIPARK,normal,2023,10,3.66,-0.644,45.7,-0.096,-0.38,0,IGME SINAS Masa 080.006 (synthetic)
8-ALIPARK,normal,2023,11,3.68,-0.551,40.5,-0.065,-0.36,0,IGME SINAS Masa 080.006 (synthetic)
8-ALIPARK,normal,2023,12,3.79,-0.439,26.2,-0.124,-0.23,0,IGME SINAS Masa 080.006 (synthetic)
8-ALIPARK,normal,2024,1,3.93,-0.339,28.4,0.002,-0.08,0,IGME SINAS Masa 080.006 (synthetic)
8-ALIPARK,normal,2024,2,4.07,-0.219,20.0,0.021,0.08,0,IGME SINAS Masa 080.006 (synthetic)
8-ALIPARK,normal,2024,3,3.85,-0.412,21.7,-0.151,-0.17,0,IGME SINAS Masa 080.006 (synthetic)
8-ALIPARK,normal,2024,4,3.75,-0.5,33.5,-0.097,-0.28,0,IGME SINAS Masa 080.006 (synthetic)
8-ALIPARK,normal,2024,5,3.72,-0.53,22.8,-0.256,-0.31,0,IGME SINAS Masa 080.006 (synthetic)
8-ALIPARK,normal,2024,6,3.99,-0.234,16.1,-0.041,-0.01,0,IGME SINAS Masa 080.006 (synthetic)
8-ALIPARK,normal,2024,7,4.25,0.05,0.6,0.057,0.28,0,IGME SINAS Masa 080.006 (synthetic)
8-ALIPARK,normal,2024,8,4.29,0.074,0.3,0.077,0.32,0,IGME SINAS Masa 080.006 (synthetic)
8-ALIPARK,normal,2024,9,3.59,-0.588,38.7,-0.124,-0.46,0,IGME SINAS Masa 080.006 (synthetic)
8-ALIPARK,normal,2024,10,3.57,-0.65,41.2,-0.155,-0.48,0,IGME SINAS Masa 080.006 (synthetic)
8-ALIPARK,normal,2024,11,3.7,-0.542,29.3,-0.19,-0.33,0,IGME SINAS Masa 080.006 (synthetic)
8-ALIPARK,normal,2024,12,3.99,-0.317,24.6,-0.022,-0.01,0,IGME SINAS Masa 080.006 (synthetic)
9-FLORIDA ALTA,normal,2022,1,4.25,-0.138,18.3,0.082,0.28,0,IGME SINAS Masa 080.006 (synthetic)
9-FLORIDA ALTA,normal,2022,2,4.17,-0.222,15.0,-0.042,0.19,0,IGME SINAS Masa 080.006 (synthetic)
9-FLORIDA ALTA,normal,2022,3,4.09,-0.248,22.2,0.019,0.1,0,IGME SINAS Masa 080.006 (synthetic)
9-FLORIDA ALTA,normal,2022,4,3.95,-0.385,23.7,-0.1,-0.06,0,IGME SINAS Masa 080.006 (synthetic)
9-FLORIDA ALTA,normal,2022,5,4.0,-0.319,27.2,0.007,0.0,0,IGME SINAS Masa 080.006 (synthetic)
9-FLORIDA ALTA,normal,2022,6,4.04,-0.255,17.3,-0.047,0.04,0,IGME SINAS Masa 080.006 (synthetic)
9-FLORIDA ALTA,normal,2022,7,4.3,-0.035,2.5,-0.005,0.33,0,IGME SINAS Masa 080.006 (synthetic)
9-FLORIDA ALTA,normal,2022,8,4.25,-0.112,10.0,0.008,0.28,0,IGME SINAS Masa 080.006 (synthetic)
9-FLORIDA ALTA,normal,2022,9,3.99,-0.462,30.7,-0.094,-0.01,0,IGME SINAS Masa 080.006 (synthetic)
9-FLORIDA ALTA,normal,2022,10,3.44,-0.849,45.1,-0.308,-0.62,0,IGME SINAS Masa 080.006 (synthetic)
9-FLORIDA ALTA,normal,2022,11,3.64,-0.793,41.3,-0.297,-0.4,0,IGME SINAS Masa 080.006 (synthetic)
9-FLORIDA ALTA,normal,2022,12,4.09,-0.369,21.3,-0.113,0.1,0,IGME SINAS Masa 080.006 (synthetic)
9-FLORIDA ALTA,normal,2023,1,3.84,-0.427,31.1,-0.054,-0.18,0,IGME SINAS Masa 080.006 (synthetic)
9-FLORIDA ALTA,normal,2023,2,4.17,-0.192,16.9,0.011,0.19,0,IGME SINAS Masa 080.006 (synthetic)
9-FLORIDA ALTA,normal,2023,3,4.0,-0.398,21.9,-0.135,0.0,0,IGME SINAS Masa 080.006 (synthetic)
9-FLORIDA ALTA,normal,2023,4,4.08,-0.273,26.5,0.044,0.09,0,IGME SINAS Masa 080.006 (synthetic)
9-FLORIDA ALTA,normal,2023,5,4.22,-0.147,19.5,0.087,0.24,0,IGME SINAS Masa 080.006 (synthetic)
9-FLORIDA ALTA,normal,2023,6,4.34,-0.045,7.1,0.04,0.38,0,IGME SINAS Masa 080.006 (synthetic)
9-FLORIDA ALTA,normal,2023,7,4.22,-0.047,5.2,0.015,0.24,0,IGME SINAS Masa 080.006 (synthetic)
9-FLORIDA ALTA,normal,2023,8,3.94,-0.372,8.1,-0.275,-0.07,0,IGME SINAS Masa 080.006 (synthetic)
9-FLORIDA ALTA,normal,2023,9,3.8,-0.568,34.6,-0.152,-0.22,0,IGME SINAS Masa 080.006 (synthetic)
9-FLORIDA ALTA,normal,2023,10,3.63,-0.714,50.4,-0.11,-0.41,0,IGME SINAS Masa 080.006 (synthetic)
9-FLORIDA ALTA,normal,2023,11,4.03,-0.244,26.2,0.071,0.03,0,IGME SINAS Masa 080.006 (synthetic)
9-FLORIDA ALTA,normal,2023,12,3.87,-0.408,18.6,-0.185,-0.14,0,IGME SINAS Masa 080.006 (synthetic)
9-FLORIDA ALTA,normal,2024,1,4.06,-0.33,22.1,-0.065,0.07,0,IGME SINAS Masa 080.006 (synthetic)
9-FLORIDA ALTA,normal,2024,2,4.14,-0.308,20.0,-0.069,0.16,0,IGME SINAS Masa 080.006 (synthetic)
9-FLORIDA ALTA,normal,2024,3,4.13,-0.332,21.5,-0.074,0.14,0,IGME SINAS Masa 080.006 (synthetic)
9-FLORIDA ALTA,normal,2024,4,4.03,-0.363,22.9,-0.088,0.03,0,IGME SINAS Masa 080.006 (synthetic)
9-FLORIDA ALTA,normal,2024,5,3.79,-0.499,30.9,-0.129,-0.23,0,IGME SINAS Masa 080.006 (synthetic)
9-FLORIDA ALTA,normal,2024,6,4.29,-0.091,9.2,0.02,0.32,0,IGME SINAS Masa 080.006 (synthetic)
9-FLORIDA ALTA,normal,2024,7,4.42,0.075,-1.7,0.054,0.47,0,IGME SINAS Masa 080.006 (synthetic)
9-FLORIDA ALTA,normal,2024,8,4.06,-0.24,4.9,-0.182,0.07,0,IGME SINAS Masa 080.006 (synthetic)
9-FLORIDA ALTA,normal,2024,9,4.05,-0.454,36.9,-0.011,0.06,0,IGME SINAS Masa 080.006 (synthetic)
9-FLORIDA ALTA,normal,2024,10,3.52,-0.84,59.1,-0.131,-0.53,0,IGME SINAS Masa 080.006 (synthetic)
9-FLORIDA ALTA,normal,2024,11,3.8,-0.532,41.9,-0.03,-0.22,0,IGME SINAS Masa 080.006 (synthetic)
9-FLORIDA ALTA,normal,2024,12,4.14,-0.188,16.9,0.015,0.16,0,IGME SINAS Masa 080.006 (synthetic)
10-FLORIDA BAJA,normal,2022,1,4.36,-0.293,25.3,0.011,0.4,0,IGME SINAS Masa 080.006 (synthetic)
10-FLORIDA BAJA,normal,2022,2,4.3,-0.368,20.3,-0.125,0.33,0,IGME SINAS Masa 080.006 (synthetic)
10-FLORIDA BAJA,normal,2022,3,4.4,-0.244,11.0,-0.112,0.44,0,IGME SINAS Masa 080.006 (synthetic)
10-FLORIDA BAJA,normal,2022,4,4.31,-0.344,34.0,0.063,0.34,0,IGME SINAS Masa 080.006 (synthetic)
10-FLORIDA BAJA,normal,2022,5,4.28,-0.361,22.2,-0.094,0.31,0,IGME SINAS Masa 080.006 (synthetic)
10-FLORIDA BAJA,normal,2022,6,4.44,-0.157,9.3,-0.046,0.49,0,IGME SINAS Masa 080.006 (synthetic)
10-FLORIDA BAJA,normal,2022,7,4.39,-0.218,5.5,-0.151,0.43,0,IGME SINAS Masa 080.006 (synthetic)
10-FLORIDA BAJA,normal,2022,8,4.51,-0.144,5.0,-0.085,0.57,0,IGME SINAS Masa 080.006 (synthetic)
10-FLORIDA BAJA,normal,2022,9,4.1,-0.62,41.6,-0.12,0.11,0,IGME SINAS Masa 080.006 (synthetic)
10-FLORIDA BAJA,normal,2022,10,4.0,-0.681,47.6,-0.109,0.0,0,IGME SINAS Masa 080.006 (synthetic)
10-FLORIDA BAJA,normal,2022,11,4.3,-0.26,28.9,0.087,0.33,0,IGME SINAS Masa 080.006 (synthetic)
10-FLORIDA BAJA,normal,2022,12,4.35,-0.264,27.9,0.071,0.39,0,IGME SINAS Masa 080.006 (synthetic)
10-FLORIDA BAJA,normal,2023,1,4.36,-0.377,18.8,-0.152,0.4,0,IGME SINAS Masa 080.006 (synthetic)
10-FLORIDA BAJA,normal,2023,2,4.33,-0.32,20.5,-0.074,0.37,0,IGME SINAS Masa 080.006 (synthetic)
10-FLORIDA BAJA,normal,2023,3,4.33,-0.267,23.7,0.018,0.37,0,IGME SINAS Masa 080.006 (synthetic)
10-FLORIDA BAJA,normal,2023,4,4.13,-0.535,37.4,-0.087,0.14,0,IGME SINAS Masa 080.006 (synthetic)
10-FLORIDA BAJA,normal,2023,5,4.21,-0.444,32.4,-0.055,0.23,0,IGME SINAS Masa 080.006 (synthetic)
10-FLORIDA BAJA,normal,2023,6,4.43,-0.207,12.0,-0.063,0.48,0,IGME SINAS Masa 080.006 (synthetic)
10-FLORIDA BAJA,normal,2023,7,4.58,-0.01,5.1,0.052,0.64,0,IGME SINAS Masa 080.006 (synthetic)
10-FLORIDA BAJA,normal,2023,8,4.54,-0.09,10.5,0.037,0.6,0,IGME SINAS Masa 080.006 (synthetic)
10-FLORIDA BAJA,normal,2023,9,3.96,-0.614,43.2,-0.095,-0.04,0,IGME SINAS Masa 080.006 (synthetic)
10-FLORIDA BAJA,normal,2023,10,4.0,-0.579,48.2,-0.001,0.0,0,IGME SINAS Masa 080.006 (synthetic)
10-FLORIDA BAJA,normal,2023,11,4.09,-0.548,28.2,-0.21,0.1,0,IGME SINAS Masa 080.006 (synthetic)
10-FLORIDA BAJA,normal,2023,12,4.37,-0.29,14.8,-0.113,0.41,0,IGME SINAS Masa 080.006 (synthetic)
10-FLORIDA BAJA,normal,2024,1,4.07,-0.439,26.1,-0.126,0.08,0,IGME SINAS Masa 080.006 (synthetic)
10-FLORIDA BAJA,normal,2024,2,4.45,-0.122,16.3,0.074,0.5,0,IGME SINAS Masa 080.006 (synthetic)
10-FLORIDA BAJA,normal,2024,3,4.39,-0.374,16.8,-0.172,0.43,0,IGME SINAS Masa 080.006 (synthetic)
10-FLORIDA BAJA,normal,2024,4,4.21,-0.454,23.9,-0.167,0.23,0,IGME SINAS Masa 080.006 (synthetic)
10-FLORIDA BAJA,normal,2024,5,4.27,-0.334,26.8,-0.013,0.3,0,IGME SINAS Masa 080.006 (synthetic)
10-FLORIDA BAJA,normal,2024,6,4.57,-0.105,2.8,-0.072,0.63,0,IGME SINAS Masa 080.006 (synthetic)
10-FLORIDA BAJA,normal,2024,7,4.74,0.049,-3.1,0.012,0.82,0,IGME SINAS Masa 080.006 (synthetic)
10-FLORIDA BAJA,normal,2024,8,4.41,-0.121,2.2,-0.095,0.46,0,IGME SINAS Masa 080.006 (synthetic)
10-FLORIDA BAJA,normal,2024,9,3.97,-0.666,37.4,-0.217,-0.03,0,IGME SINAS Masa 080.006 (synthetic)
10-FLORIDA BAJA,normal,2024,10,3.85,-0.76,48.4,-0.179,-0.17,0,IGME SINAS Masa 080.006 (synthetic)
10-FLORIDA BAJA,normal,2024,11,3.92,-0.598,35.2,-0.175,-0.09,0,IGME SINAS Masa 080.006 (synthetic)
10-FLORIDA BAJA,normal,2024,12,4.54,-0.109,16.2,0.085,0.6,0,IGME SINAS Masa 080.006 (synthetic)
14-ENSANCHE DIPUTACION,normal,2022,1,3.76,-0.2,12.0,-0.057,-0.27,0,IGME SINAS Masa 080.006 (synthetic)
14-ENSANCHE DIPUTACION,normal,2022,2,3.71,-0.272,21.5,-0.014,-0.32,0,IGME SINAS Masa 080.006 (synthetic)
14-ENSANCHE DIPUTACION,normal,2022,3,3.41,-0.518,25.4,-0.213,-0.66,0,IGME SINAS Masa 080.006 (synthetic)
14-ENSANCHE DIPUTACION,normal,2022,4,3.59,-0.429,22.2,-0.162,-0.46,0,IGME SINAS Masa 080.006 (synthetic)
14-ENSANCHE DIPUTACION,normal,2022,5,3.66,-0.347,27.3,-0.02,-0.38,0,IGME SINAS Masa 080.006 (synthetic)
14-ENSANCHE DIPUTACION,normal,2022,6,4.0,-0.022,2.5,0.009,0.0,0,IGME SINAS Masa 080.006 (synthetic)
14-ENSANCHE DIPUTACION,normal,2022,7,3.98,-0.046,-3.2,-0.084,-0.02,0,IGME SINAS Masa 080.006 (synthetic)
14-ENSANCHE DIPUTACION,normal,2022,8,4.04,0.02,4.5,0.074,0.04,0,IGME SINAS Masa 080.006 (synthetic)
14-ENSANCHE DIPUTACION,normal,2022,9,3.59,-0.408,28.2,-0.069,-0.46,0,IGME SINAS Masa 080.006 (synthetic)
14-ENSANCHE DIPUTACION,normal,2022,10,3.39,-0.599,48.3,-0.02,-0.68,0,IGME SINAS Masa 080.006 (synthetic)
14-ENSANCHE DIPUTACION,normal,2022,11,3.46,-0.586,34.8,-0.168,-0.6,0,IGME SINAS Masa 080.006 (synthetic)
14-ENSANCHE DIPUTACION,normal,2022,12,3.58,-0.442,27.5,-0.112,-0.47,0,IGME SINAS Masa 080.006 (synthetic)
14-ENSANCHE DIPUTACION,normal,2023,1,3.74,-0.36,20.9,-0.109,-0.29,0,IGME SINAS Masa 080.006 (synthetic)
14-ENSANCHE DIPUTACION,normal,2023,2,3.72,-0.282,15.8,-0.093,-0.31,0,IGME SINAS Masa 080.006 (synthetic)
14-ENSANCHE DIPUTACION,normal,2023,3,3.55,-0.408,26.5,-0.09,-0.5,0,IGME SINAS Masa 080.006 (synthetic)
14-ENSANCHE DIPUTACION,normal,2023,4,3.75,-0.293,22.3,-0.026,-0.28,0,IGME SINAS Masa 080.006 (synthetic)
14-ENSANCHE DIPUTACION,normal,2023,5,3.65,-0.401,29.7,-0.044,-0.39,0,IGME SINAS Masa 080.006 (synthetic)
14-ENSANCHE DIPUTACION,normal,2023,6,3.98,-0.013,2.7,0.019,-0.02,0,IGME SINAS Masa 080.006 (synthetic)
14-ENSANCHE DIPUTACION,normal,2023,7,4.04,0.049,0.3,0.053,0.04,0,IGME SINAS Masa 080.006 (synthetic)
14-ENSANCHE DIPUTACION,normal,2023,8,4.1,0.029,-1.3,0.013,0.11,0,IGME SINAS Masa 080.006 (synthetic)
14-ENSANCHE DIPUTACION,normal,2023,9,3.32,-0.664,45.6,-0.118,-0.76,0,IGME SINAS Masa 080.006 (synthetic)
14-ENSANCHE DIPUTACION,normal,2023,10,3.38,-0.638,43.0,-0.121,-0.69,0,IGME SINAS Masa 080.006 (synthetic)
14-ENSANCHE DIPUTACION,normal,2023,11,3.44,-0.575,34.1,-0.166,-0.62,0,IGME SINAS Masa 080.006 (synthetic)
14-ENSANCHE DIPUTACION,normal,2023,12,3.53,-0.44,29.1,-0.091,-0.52,0,IGME SINAS Masa 080.006 (synthetic)
14-ENSANCHE DIPUTACION,normal,2024,1,3.84,-0.272,25.2,0.031,-0.18,0,IGME SINAS Masa 080.006 (synthetic)
14-ENSANCHE DIPUTACION,normal,2024,2,3.87,-0.267,14.9,-0.088,-0.14,0,IGME SINAS Masa 080.006 (synthetic)
14-ENSANCHE DIPUTACION,normal,2024,3,3.81,-0.137,13.6,0.026,-0.21,0,IGME SINAS Masa 080.006 (synthetic)
14-ENSANCHE DIPUTACION,normal,2024,4,3.47,-0.455,31.5,-0.077,-0.59,0,IGME SINAS Masa 080.006 (synthetic)
14-ENSANCHE DIPUTACION,normal,2024,5,3.62,-0.386,29.4,-0.033,-0.42,0,IGME SINAS Masa 080.006 (synthetic)
14-ENSANCHE DIPUTACION,normal,2024,6,3.84,-0.152,7.6,-0.062,-0.18,0,IGME SINAS Masa 080.006 (synthetic)
14-ENSANCHE DIPUTACION,normal,2024,7,3.94,-0.042,1.4,-0.025,-0.07,0,IGME SINAS Masa 080.006 (synthetic)
14-ENSANCHE DIPUTACION,normal,2024,8,4.04,0.013,-0.3,0.009,0.04,0,IGME SINAS Masa 080.006 (synthetic)
14-ENSANCHE DIPUTACION,normal,2024,9,3.66,-0.448,36.1,-0.014,-0.38,0,IGME SINAS Masa 080.006 (synthetic)
14-ENSANCHE DIPUTACION,normal,2024,10,3.34,-0.679,47.6,-0.107,-0.73,0,IGME SINAS Masa 080.006 (synthetic)
14-ENSANCHE DIPUTACION,normal,2024,11,3.43,-0.568,43.0,-0.051,-0.63,0,IGME SINAS Masa 080.006 (synthetic)
14-ENSANCHE DIPUTACION,normal,2024,12,3.87,-0.225,20.2,0.017,-0.14,0,IGME SINAS Masa 080.006 (synthetic)
16-PLA DEL BON REPOS,normal,2022,1,4.54,-0.264,22.8,0.009,0.6,0,IGME SINAS Masa 080.006 (synthetic)
16-PLA DEL BON REPOS,normal,2022,2,4.34,-0.437,25.8,-0.127,0.38,0,IGME SINAS Masa 080.006 (synthetic)
16-PLA DEL BON REPOS,normal,2022,3,4.26,-0.415,25.1,-0.113,0.29,0,IGME SINAS Masa 080.006 (synthetic)
16-PLA DEL BON REPOS,normal,2022,4,4.53,-0.232,24.8,0.067,0.59,0,IGME SINAS Masa 080.006 (synthetic)
16-PLA DEL BON REPOS,normal,2022,5,4.51,-0.268,16.4,-0.072,0.57,0,IGME SINAS Masa 080.006 (synthetic)
16-PLA DEL BON REPOS,normal,2022,6,4.53,-0.25,7.0,-0.165,0.59,0,IGME SINAS Masa 080.006 (synthetic)
16-PLA DEL BON REPOS,normal,2022,7,4.63,-0.08,4.0,-0.033,0.7,0,IGME SINAS Masa 080.006 (synthetic)
16-PLA DEL BON REPOS,normal,2022,8,4.6,-0.066,9.0,0.043,0.67,0,IGME SINAS Masa 080.006 (synthetic)
16-PLA DEL BON REPOS,normal,2022,9,3.97,-0.748,40.0,-0.268,-0.03,0,IGME SINAS Masa 080.006 (synthetic)
16-PLA DEL BON REPOS,normal,2022,10,3.96,-0.761,54.3,-0.109,-0.04,0,IGME SINAS Masa 080.006 (synthetic)
16-PLA DEL BON REPOS,normal,2022,11,4.23,-0.524,32.9,-0.129,0.26,0,IGME SINAS Masa 080.006 (synthetic)
16-PLA DEL BON REPOS,normal,2022,12,4.25,-0.486,25.0,-0.186,0.28,0,IGME SINAS Masa 080.006 (synthetic)
16-PLA DEL BON REPOS,normal,2023,1,4.37,-0.345,20.7,-0.097,0.41,0,IGME SINAS Masa 080.006 (synthetic)
16-PLA DEL BON REPOS,normal,2023,2,4.33,-0.399,24.4,-0.106,0.37,0,IGME SINAS Masa 080.006 (synthetic)
16-PLA DEL BON REPOS,normal,2023,3,4.41,-0.257,19.5,-0.023,0.46,0,IGME SINAS Masa 080.006 (synthetic)
16-PLA DEL BON REPOS,normal,2023,4,4.59,-0.203,31.0,0.169,0.66,0,IGME SINAS Masa 080.006 (synthetic)
16-PLA DEL BON REPOS,normal,2023,5,4.35,-0.413,32.3,-0.026,0.39,0,IGME SINAS Masa 080.006 (synthetic)
16-PLA DEL BON REPOS,normal,2023,6,4.6,-0.117,5.7,-0.049,0.67,0,IGME SINAS Masa 080.006 (synthetic)
16-PLA DEL BON REPOS,normal,2023,7,4.64,-0.1,0.8,-0.09,0.71,0,IGME SINAS Masa 080.006 (synthetic)
16-PLA DEL BON REPOS,normal,2023,8,4.79,-0.004,1.9,0.019,0.88,0,IGME SINAS Masa 080.006 (synthetic)
16-PLA DEL BON REPOS,normal,2023,9,4.17,-0.549,38.6,-0.087,0.19,0,IGME SINAS Masa 080.006 (synthetic)
16-PLA DEL BON REPOS,normal,2023,10,3.91,-0.809,51.8,-0.188,-0.1,0,IGME SINAS Masa 080.006 (synthetic)
16-PLA DEL BON REPOS,normal,2023,11,4.08,-0.647,40.9,-0.157,0.09,0,IGME SINAS Masa 080.006 (synthetic)
16-PLA DEL BON REPOS,normal,2023,12,4.41,-0.356,22.1,-0.091,0.46,0,IGME SINAS Masa 080.006 (synthetic)
16-PLA DEL BON REPOS,normal,2024,1,4.26,-0.538,33.9,-0.131,0.29,0,IGME SINAS Masa 080.006 (synthetic)
16-PLA DEL BON REPOS,normal,2024,2,4.58,-0.107,11.9,0.036,0.64,0,IGME SINAS Masa 080.006 (synthetic)
16-PLA DEL BON REPOS,normal,2024,3,4.35,-0.425,30.6,-0.058,0.39,0,IGME SINAS Masa 080.006 (synthetic)
16-PLA DEL BON REPOS,normal,2024,4,4.22,-0.493,30.7,-0.125,0.24,0,IGME SINAS Masa 080.006 (synthetic)
16-PLA DEL BON REPOS,normal,2024,5,4.35,-0.336,24.8,-0.038,0.39,0,IGME SINAS Masa 080.006 (synthetic)
16-PLA DEL BON REPOS,normal,2024,6,4.62,-0.167,11.9,-0.024,0.69,0,IGME SINAS Masa 080.006 (synthetic)
16-PLA DEL BON REPOS,normal,2024,7,4.59,-0.083,6.0,-0.011,0.66,0,IGME SINAS Masa 080.006 (synthetic)
16-PLA DEL BON REPOS,normal,2024,8,4.71,-0.067,6.8,0.014,0.79,0,IGME SINAS Masa 080.006 (synthetic)
16-PLA DEL BON REPOS,normal,2024,9,4.03,-0.614,41.6,-0.115,0.03,0,IGME SINAS Masa 080.006 (synthetic)
16-PLA DEL BON REPOS,normal,2024,10,4.03,-0.763,46.1,-0.21,0.03,0,IGME SINAS Masa 080.006 (synthetic)
16-PLA DEL BON REPOS,normal,2024,11,4.26,-0.515,36.0,-0.084,0.29,0,IGME SINAS Masa 080.006 (synthetic)
16-PLA DEL BON REPOS,normal,2024,12,4.14,-0.502,28.8,-0.156,0.16,0,IGME SINAS Masa 080.006 (synthetic)
17-CAROLINAS ALTAS,fuga_silenciosa,2022,1,4.2,-0.528,27.1,-0.204,0.22,0,IGME SINAS Masa 080.006 (synthetic)
17-CAROLINAS ALTAS,fuga_silenciosa,2022,2,4.37,-0.44,27.8,-0.106,0.41,0,IGME SINAS Masa 080.006 (synthetic)
17-CAROLINAS ALTAS,fuga_silenciosa,2022,3,4.35,-0.439,23.6,-0.156,0.39,0,IGME SINAS Masa 080.006 (synthetic)
17-CAROLINAS ALTAS,fuga_silenciosa,2022,4,4.21,-0.488,25.0,-0.188,0.23,0,IGME SINAS Masa 080.006 (synthetic)
17-CAROLINAS ALTAS,fuga_silenciosa,2022,5,4.27,-0.53,33.6,-0.126,0.3,0,IGME SINAS Masa 080.006 (synthetic)
17-CAROLINAS ALTAS,fuga_silenciosa,2022,6,4.54,-0.203,17.7,0.009,0.6,0,IGME SINAS Masa 080.006 (synthetic)
17-CAROLINAS ALTAS,fuga_silenciosa,2022,7,4.63,-0.089,1.7,-0.069,0.7,0,IGME SINAS Masa 080.006 (synthetic)
17-CAROLINAS ALTAS,fuga_silenciosa,2022,8,4.66,-0.116,5.6,-0.049,0.73,0,IGME SINAS Masa 080.006 (synthetic)
17-CAROLINAS ALTAS,fuga_silenciosa,2022,9,4.23,-0.474,33.7,-0.07,0.26,0,IGME SINAS Masa 080.006 (synthetic)
17-CAROLINAS ALTAS,fuga_silenciosa,2022,10,4.01,-0.804,48.1,-0.226,0.01,0,IGME SINAS Masa 080.006 (synthetic)
17-CAROLINAS ALTAS,fuga_silenciosa,2022,11,4.45,-0.418,36.3,0.019,0.5,0,IGME SINAS Masa 080.006 (synthetic)
17-CAROLINAS ALTAS,fuga_silenciosa,2022,12,4.56,-0.121,15.0,0.058,0.62,0,IGME SINAS Masa 080.006 (synthetic)
17-CAROLINAS ALTAS,fuga_silenciosa,2023,1,4.45,-0.338,26.7,-0.017,0.5,0,IGME SINAS Masa 080.006 (synthetic)
17-CAROLINAS ALTAS,fuga_silenciosa,2023,2,4.64,-0.14,15.5,0.046,0.71,0,IGME SINAS Masa 080.006 (synthetic)
17-CAROLINAS ALTAS,fuga_silenciosa,2023,3,4.35,-0.44,19.7,-0.203,0.39,0,IGME SINAS Masa 080.006 (synthetic)
17-CAROLINAS ALTAS,fuga_silenciosa,2023,4,4.42,-0.043,33.3,0.356,0.47,0,IGME SINAS Masa 080.006 (synthetic)
17-CAROLINAS ALTAS,fuga_silenciosa,2023,5,4.36,-0.075,21.2,0.18,0.4,0,IGME SINAS Masa 080.006 (synthetic)
17-CAROLINAS ALTAS,fuga_silenciosa,2023,6,4.78,-0.118,3.7,-0.073,0.87,0,IGME SINAS Masa 080.006 (synthetic)
17-CAROLINAS ALTAS,fuga_silenciosa,2023,7,4.57,-0.09,6.6,-0.011,0.63,0,IGME SINAS Masa 080.006 (synthetic)
17-CAROLINAS ALTAS,fuga_silenciosa,2023,8,4.66,-0.126,4.6,-0.071,0.73,0,IGME SINAS Masa 080.006 (synthetic)
17-CAROLINAS ALTAS,fuga_silenciosa,2023,9,4.18,-0.103,34.8,0.314,0.2,0,IGME SINAS Masa 080.006 (synthetic)
17-CAROLINAS ALTAS,fuga_silenciosa,2023,10,3.91,-0.103,53.9,0.543,-0.1,0,IGME SINAS Masa 080.006 (synthetic)
17-CAROLINAS ALTAS,fuga_silenciosa,2023,11,4.21,-0.034,36.7,0.406,0.23,0,IGME SINAS Masa 080.006 (synthetic)
