barrio,tipo_anomalia,year,month,lst_mean_c,lst_coldspot_delta_c,lst_neighbor_delta_c,thermal_coldspot_zscore,thermal_neighbor_zscore,cloud_cover_pct,n_valid_pixels,thermal_leak_flag,source
5-CAMPOAMOR,normal,2024,12,14.9,-1.42,-0.06,-0.2,-0.06,7.0,190,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
6-LOS ANGELES,normal,2022,1,15.7,-1.45,1.52,-0.22,1.52,18.2,121,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
6-LOS ANGELES,normal,2022,2,13.4,-1.35,-0.51,-0.14,-0.51,17.2,167,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
6-LOS ANGELES,normal,2022,3,16.0,-1.2,-0.06,-0.0,-0.06,9.1,81,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
6-LOS ANGELES,normal,2022,4,21.9,-1.0,-0.47,0.18,-0.47,27.3,93,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
6-LOS ANGELES,normal,2022,5,27.0,-1.37,0.78,-0.15,0.78,22.9,179,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
6-LOS ANGELES,normal,2022,6,32.6,-2.07,-0.08,-0.79,-0.08,31.4,193,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
6-LOS ANGELES,normal,2022,7,38.5,-1.33,-0.07,-0.12,-0.07,29.4,141,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
6-LOS ANGELES,normal,2022,8,39.5,-1.31,-0.92,-0.1,-0.92,5.4,243,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
6-LOS ANGELES,normal,2022,9,29.4,-0.55,-0.54,0.59,-0.54,33.4,217,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
6-LOS ANGELES,normal,2022,10,24.6,-0.84,0.22,0.33,0.22,24.6,146,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
6-LOS ANGELES,normal,2022,11,19.5,-1.49,-1.06,-0.26,-1.06,27.5,135,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
6-LOS ANGELES,normal,2022,12,13.9,-0.92,0.36,0.25,0.36,20.9,205,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
6-LOS ANGELES,normal,2023,1,12.5,-1.03,-0.17,0.15,-0.17,23.7,103,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
6-LOS ANGELES,normal,2023,2,17.3,-1.15,-1.45,0.04,-1.45,13.6,249,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
6-LOS ANGELES,normal,2023,3,20.1,-0.46,0.91,0.67,0.91,9.1,185,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
6-LOS ANGELES,normal,2023,4,22.3,-1.17,1.36,0.02,1.36,22.5,209,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
6-LOS ANGELES,normal,2023,5,27.1,-1.11,-1.2,0.08,-1.2,21.5,173,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
6-LOS ANGELES,normal,2023,6,30.9,-0.83,-0.22,0.34,-0.22,7.4,127,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
6-LOS ANGELES,normal,2023,7,39.0,-0.98,-0.69,0.2,-0.69,19.8,205,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
6-LOS ANGELES,normal,2023,8,39.8,-1.12,0.41,0.07,0.41,17.3,85,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
6-LOS ANGELES,normal,2023,9,29.2,-1.16,-0.5,0.04,-0.5,14.4,145,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
6-LOS ANGELES,normal,2023,10,23.5,-1.72,-1.14,-0.47,-1.14,14.1,132,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
6-LOS ANGELES,normal,2023,11,17.3,-0.19,-0.82,0.92,-0.82,25.1,183,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
6-LOS ANGELES,normal,2023,12,17.2,-1.84,-0.88,-0.59,-0.88,21.2,153,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
6-LOS ANGELES,normal,2024,1,14.5,-1.0,0.78,0.19,0.78,16.3,205,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
6-LOS ANGELES,normal,2024,2,15.7,-1.83,0.8,-0.57,0.8,15.1,243,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
6-LOS ANGELES,normal,2024,3,20.4,-1.0,0.58,0.19,0.58,8.3,179,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
6-LOS ANGELES,normal,2024,4,20.7,-0.94,-1.0,0.24,-1.0,18.7,141,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
6-LOS ANGELES,normal,2024,5,25.7,-1.09,-1.25,0.1,-1.25,23.2,85,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
6-LOS ANGELES,normal,2024,6,33.6,-1.33,0.07,-0.12,0.07,27.9,210,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
6-LOS ANGELES,normal,2024,7,41.6,-0.91,0.35,0.26,0.35,22.1,223,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
6-LOS ANGELES,normal,2024,8,39.3,-1.55,-0.12,-0.32,-0.12,14.8,161,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
6-LOS ANGELES,normal,2024,9,32.3,-1.54,1.31,-0.31,1.31,11.8,165,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
6-LOS ANGELES,normal,2024,10,23.7,-0.81,-0.51,0.35,-0.51,12.4,177,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
6-LOS ANGELES,normal,2024,11,18.5,-0.95,0.65,0.22,0.65,16.5,165,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
6-LOS ANGELES,normal,2024,12,12.5,-1.83,-1.22,-0.58,-1.22,29.7,94,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
8-ALIPARK,normal,2022,1,14.7,-1.32,0.27,-0.11,0.27,17.0,182,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
8-ALIPARK,normal,2022,2,14.8,-0.76,-1.01,0.4,-1.01,34.9,95,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
8-ALIPARK,normal,2022,3,19.4,-1.59,-0.9,-0.35,-0.9,7.3,192,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
8-ALIPARK,normal,2022,4,20.2,-1.41,0.65,-0.2,0.65,29.7,205,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
8-ALIPARK,normal,2022,5,25.1,-1.29,0.86,-0.08,0.86,30.5,111,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
8-ALIPARK,normal,2022,6,31.6,-0.79,-0.81,0.37,-0.81,11.4,205,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
8-ALIPARK,normal,2022,7,38.7,-0.78,-0.69,0.38,-0.69,24.3,101,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
8-ALIPARK,normal,2022,8,41.1,-0.86,0.25,0.31,0.25,19.4,194,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
8-ALIPARK,normal,2022,9,31.6,-0.23,0.14,0.88,0.14,15.1,248,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
8-ALIPARK,normal,2022,10,24.7,-1.45,0.76,-0.22,0.76,8.3,220,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
8-ALIPARK,normal,2022,11,20.6,-1.23,-0.4,-0.03,-0.4,26.0,197,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
8-ALIPARK,normal,2022,12,15.8,-1.01,0.07,0.17,0.07,22.1,81,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
8-ALIPARK,normal,2023,1,14.8,-0.61,0.32,0.54,0.32,32.5,207,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
8-ALIPARK,normal,2023,2,14.5,-1.85,-0.15,-0.59,-0.15,28.2,240,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
8-ALIPARK,normal,2023,3,18.8,-1.15,0.34,0.04,0.34,32.8,161,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
8-ALIPARK,normal,2023,4,19.5,-1.68,-0.41,-0.44,-0.41,5.1,169,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
8-ALIPARK,normal,2023,5,26.9,-0.85,-0.93,0.32,-0.93,5.6,150,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
8-ALIPARK,normal,2023,6,31.5,-1.24,-0.3,-0.04,-0.3,33.8,203,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
8-ALIPARK,normal,2023,7,40.5,-1.35,0.42,-0.13,0.42,25.5,175,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
8-ALIPARK,normal,2023,8,37.1,-1.33,0.3,-0.12,0.3,15.4,247,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
8-ALIPARK,normal,2023,9,31.1,-1.04,-0.63,0.15,-0.63,30.9,218,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
8-ALIPARK,normal,2023,10,23.8,-1.23,0.23,-0.02,0.23,25.0,226,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
8-ALIPARK,normal,2023,11,18.0,-0.89,-0.1,0.28,-0.1,19.4,107,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
8-ALIPARK,normal,2023,12,15.7,-1.37,1.09,-0.16,1.09,12.4,208,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
8-ALIPARK,normal,2024,1,12.9,-0.02,0.05,1.07,0.05,7.0,165,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
8-ALIPARK,normal,2024,2,16.0,-1.2,0.88,-0.0,0.88,8.7,166,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
8-ALIPARK,normal,2024,3,17.8,-0.34,-0.87,0.79,-0.87,25.6,122,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
8-ALIPARK,normal,2024,4,20.1,-1.03,-0.33,0.15,-0.33,20.7,201,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
8-ALIPARK,normal,2024,5,27.6,-1.3,-1.34,-0.09,-1.34,8.3,234,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
8-ALIPARK,normal,2024,6,35.9,0.21,-0.92,1.28,-0.92,28.8,102,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
8-ALIPARK,normal,2024,7,39.1,-0.84,-1.73,0.33,-1.73,5.2,115,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
8-ALIPARK,normal,2024,8,36.9,-0.63,-1.94,0.52,-1.94,21.7,124,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
8-ALIPARK,normal,2024,9,30.1,-1.17,-0.21,0.03,-0.21,11.0,181,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
8-ALIPARK,normal,2024,10,24.1,-0.36,-0.19,0.76,-0.19,33.5,106,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
8-ALIPARK,normal,2024,11,17.4,-0.03,0.9,1.06,0.9,9.9,163,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
8-ALIPARK,normal,2024,12,14.0,-1.37,-0.08,-0.15,-0.08,13.6,214,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
9-FLORIDA ALTA,normal,2022,1,15.5,-1.05,-0.88,0.14,-0.88,6.7,128,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
9-FLORIDA ALTA,normal,2022,2,16.9,-0.72,0.68,0.44,0.68,10.1,95,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
9-FLORIDA ALTA,normal,2022,3,17.9,-1.56,-0.82,-0.32,-0.82,34.7,184,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
9-FLORIDA ALTA,normal,2022,4,18.3,-1.08,-1.08,0.11,-1.08,7.3,127,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
9-FLORIDA ALTA,normal,2022,5,25.4,-1.52,1.88,-0.29,1.88,5.9,235,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
9-FLORIDA ALTA,normal,2022,6,30.5,-0.72,0.34,0.44,0.34,22.4,243,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
9-FLORIDA ALTA,normal,2022,7,39.6,-0.82,-0.99,0.34,-0.99,10.5,94,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
9-FLORIDA ALTA,normal,2022,8,35.1,-0.65,0.46,0.5,0.46,23.4,222,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
9-FLORIDA ALTA,normal,2022,9,32.0,-1.09,0.33,0.1,0.33,21.9,241,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
9-FLORIDA ALTA,normal,2022,10,23.3,-2.18,0.52,-0.89,0.52,28.6,182,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
9-FLORIDA ALTA,normal,2022,11,20.6,-2.02,-1.34,-0.75,-1.34,31.6,121,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
9-FLORIDA ALTA,normal,2022,12,14.3,-1.1,-0.46,0.09,-0.46,30.9,201,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
9-FLORIDA ALTA,normal,2023,1,15.8,-0.76,-0.06,0.4,-0.06,15.7,197,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
9-FLORIDA ALTA,normal,2023,2,16.8,-1.22,0.15,-0.02,0.15,22.0,171,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
9-FLORIDA ALTA,normal,2023,3,18.9,-2.39,-0.86,-1.09,-0.86,8.4,81,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
9-FLORIDA ALTA,normal,2023,4,19.5,-0.05,-1.11,1.04,-1.11,9.7,160,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
9-FLORIDA ALTA,normal,2023,5,26.6,-1.21,0.41,-0.01,0.41,32.9,241,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
9-FLORIDA ALTA,normal,2023,6,31.5,-1.4,-1.03,-0.18,-1.03,9.5,160,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
9-FLORIDA ALTA,normal,2023,7,37.4,-0.89,-0.09,0.28,-0.09,27.5,186,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
9-FLORIDA ALTA,normal,2023,8,37.6,-0.96,-1.99,0.21,-1.99,9.7,106,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
9-FLORIDA ALTA,normal,2023,9,31.9,-1.32,0.06,-0.11,0.06,20.8,89,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
9-FLORIDA ALTA,normal,2023,10,23.5,-1.73,-0.7,-0.48,-0.7,24.7,157,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
9-FLORIDA ALTA,normal,2023,11,17.9,-1.1,-1.13,0.09,-1.13,9.1,107,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
9-FLORIDA ALTA,normal,2023,12,14.3,-1.96,-0.26,-0.69,-0.26,32.6,132,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
9-FLORIDA ALTA,normal,2024,1,13.9,-1.86,1.05,-0.6,1.05,20.3,214,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
9-FLORIDA ALTA,normal,2024,2,14.9,-0.76,-0.91,0.4,-0.91,34.5,162,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
9-FLORIDA ALTA,normal,2024,3,17.2,-0.94,-0.74,0.24,-0.74,27.5,103,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
9-FLORIDA ALTA,normal,2024,4,21.2,-2.32,-0.41,-1.01,-0.41,24.6,206,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
9-FLORIDA ALTA,normal,2024,5,26.1,-1.01,0.92,0.18,0.92,9.9,192,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
9-FLORIDA ALTA,normal,2024,6,31.0,-0.19,0.36,0.91,0.36,27.9,87,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
9-FLORIDA ALTA,normal,2024,7,39.8,-0.81,0.97,0.35,0.97,12.3,248,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
9-FLORIDA ALTA,normal,2024,8,38.8,-1.22,0.61,-0.01,0.61,28.0,147,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
9-FLORIDA ALTA,normal,2024,9,32.5,-1.09,-0.48,0.1,-0.48,18.1,86,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
9-FLORIDA ALTA,normal,2024,10,24.1,-1.44,-0.88,-0.22,-0.88,34.6,88,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
9-FLORIDA ALTA,normal,2024,11,19.0,-0.46,-0.06,0.67,-0.06,32.1,122,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
9-FLORIDA ALTA,normal,2024,12,14.5,-1.87,0.68,-0.61,0.68,32.5,95,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
10-FLORIDA BAJA,normal,2022,1,12.8,-1.7,-0.74,-0.45,-0.74,32.8,128,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
10-FLORIDA BAJA,normal,2022,2,18.2,-1.08,-0.03,0.11,-0.03,14.0,157,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
10-FLORIDA BAJA,normal,2022,3,17.3,-0.99,-0.33,0.19,-0.33,21.3,119,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
10-FLORIDA BAJA,normal,2022,4,20.8,-1.6,-0.5,-0.36,-0.5,30.5,97,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
10-FLORIDA BAJA,normal,2022,5,25.4,-0.67,0.73,0.49,0.73,13.8,170,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
10-FLORIDA BAJA,normal,2022,6,31.2,-0.17,-0.39,0.94,-0.39,14.1,151,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
10-FLORIDA BAJA,normal,2022,7,41.0,-1.42,0.36,-0.2,0.36,19.5,242,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
10-FLORIDA BAJA,normal,2022,8,40.6,-0.91,-0.66,0.26,-0.66,30.3,140,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
10-FLORIDA BAJA,normal,2022,9,31.5,-0.29,-1.52,0.83,-1.52,31.6,232,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
10-FLORIDA BAJA,normal,2022,10,27.4,-1.36,-1.39,-0.15,-1.39,7.5,139,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
10-FLORIDA BAJA,normal,2022,11,18.1,-0.84,1.13,0.33,1.13,20.8,144,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
10-FLORIDA BAJA,normal,2022,12,15.2,-1.53,0.18,-0.3,0.18,27.0,220,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
10-FLORIDA BAJA,normal,2023,1,13.5,-1.48,0.13,-0.25,0.13,14.6,134,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
10-FLORIDA BAJA,normal,2023,2,16.0,-1.89,1.72,-0.63,1.72,12.6,104,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
10-FLORIDA BAJA,normal,2023,3,19.1,-1.25,2.31,-0.05,2.31,33.1,147,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
10-FLORIDA BAJA,normal,2023,4,21.9,-1.19,0.88,0.01,0.88,32.8,184,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
10-FLORIDA BAJA,normal,2023,5,27.0,-0.86,0.5,0.31,0.5,28.3,100,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
10-FLORIDA BAJA,normal,2023,6,33.5,-1.02,-0.28,0.16,-0.28,21.3,242,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
10-FLORIDA BAJA,normal,2023,7,41.1,-1.7,0.15,-0.46,0.15,29.1,176,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
10-FLORIDA BAJA,normal,2023,8,39.0,-1.59,0.65,-0.36,0.65,31.9,148,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
10-FLORIDA BAJA,normal,2023,9,29.5,-1.02,-0.72,0.16,-0.72,11.1,158,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
10-FLORIDA BAJA,normal,2023,10,23.4,-1.34,1.36,-0.12,1.36,27.9,178,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
10-FLORIDA BAJA,normal,2023,11,18.9,-2.02,-1.23,-0.75,-1.23,22.5,88,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
10-FLORIDA BAJA,normal,2023,12,13.7,-1.27,0.04,-0.06,0.04,33.6,158,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
10-FLORIDA BAJA,normal,2024,1,14.4,-0.6,-0.73,0.54,-0.73,17.1,108,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
10-FLORIDA BAJA,normal,2024,2,14.9,-2.35,-0.82,-1.04,-0.82,21.0,142,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
10-FLORIDA BAJA,normal,2024,3,18.9,-0.68,0.69,0.48,0.69,19.4,227,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
10-FLORIDA BAJA,normal,2024,4,21.2,-1.45,-0.46,-0.23,-0.46,7.6,132,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
10-FLORIDA BAJA,normal,2024,5,27.7,-1.44,0.74,-0.21,0.74,25.9,238,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
10-FLORIDA BAJA,normal,2024,6,31.0,-0.9,0.22,0.27,0.22,24.7,247,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
10-FLORIDA BAJA,normal,2024,7,40.7,-0.81,0.05,0.35,0.05,13.3,225,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
10-FLORIDA BAJA,normal,2024,8,37.3,-1.27,0.59,-0.07,0.59,9.4,215,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
10-FLORIDA BAJA,normal,2024,9,32.5,-0.81,1.28,0.35,1.28,7.0,207,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
10-FLORIDA BAJA,normal,2024,10,26.4,-0.72,0.05,0.44,0.05,20.8,189,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
10-FLORIDA BAJA,normal,2024,11,19.1,-0.56,0.02,0.58,0.02,31.8,123,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
10-FLORIDA BAJA,normal,2024,12,14.9,-1.91,-1.32,-0.65,-1.32,31.9,95,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
14-ENSANCHE DIPUTACION,normal,2022,1,13.8,-1.67,-0.31,-0.42,-0.31,21.2,210,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
14-ENSANCHE DIPUTACION,normal,2022,2,16.8,-2.0,-1.73,-0.73,-1.73,30.1,171,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
14-ENSANCHE DIPUTACION,normal,2022,3,18.3,-1.48,-0.75,-0.25,-0.75,19.2,175,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
14-ENSANCHE DIPUTACION,normal,2022,4,20.8,-0.21,0.51,0.9,0.51,6.3,249,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
14-ENSANCHE DIPUTACION,normal,2022,5,28.0,-1.13,1.77,0.07,1.77,33.6,81,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
14-ENSANCHE DIPUTACION,normal,2022,6,33.9,-0.6,1.07,0.55,1.07,21.5,153,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
14-ENSANCHE DIPUTACION,normal,2022,7,40.9,-0.37,0.44,0.75,0.44,16.1,238,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
14-ENSANCHE DIPUTACION,normal,2022,8,40.9,-1.03,1.18,0.15,1.18,12.6,195,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
14-ENSANCHE DIPUTACION,normal,2022,9,31.1,-1.31,0.76,-0.1,0.76,32.2,208,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
14-ENSANCHE DIPUTACION,normal,2022,10,24.6,-1.47,1.06,-0.25,1.06,17.7,180,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
14-ENSANCHE DIPUTACION,normal,2022,11,17.2,-0.54,0.43,0.6,0.43,28.6,215,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
14-ENSANCHE DIPUTACION,normal,2022,12,14.5,-0.95,-0.93,0.22,-0.93,15.3,188,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
14-ENSANCHE DIPUTACION,normal,2023,1,16.5,-0.45,-0.21,0.68,-0.21,6.3,185,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
14-ENSANCHE DIPUTACION,normal,2023,2,15.8,-0.84,-0.67,0.32,-0.67,32.6,216,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
14-ENSANCHE DIPUTACION,normal,2023,3,18.4,-0.86,-0.22,0.31,-0.22,16.4,138,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
14-ENSANCHE DIPUTACION,normal,2023,4,20.3,-0.98,-0.08,0.2,-0.08,9.6,88,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
14-ENSANCHE DIPUTACION,normal,2023,5,25.5,-0.77,-1.06,0.39,-1.06,20.6,234,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
14-ENSANCHE DIPUTACION,normal,2023,6,31.4,-1.18,-0.59,0.02,-0.59,26.5,204,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
14-ENSANCHE DIPUTACION,normal,2023,7,38.9,-0.06,0.08,1.04,0.08,27.0,194,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
14-ENSANCHE DIPUTACION,normal,2023,8,39.4,-1.08,0.7,0.11,0.7,6.7,160,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
14-ENSANCHE DIPUTACION,normal,2023,9,31.6,-1.93,0.93,-0.66,0.93,25.4,179,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
14-ENSANCHE DIPUTACION,normal,2023,10,23.9,-1.8,1.06,-0.55,1.06,7.5,147,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
14-ENSANCHE DIPUTACION,normal,2023,11,17.9,-2.23,0.09,-0.93,0.09,18.1,175,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
14-ENSANCHE DIPUTACION,normal,2023,12,14.8,-1.18,0.13,0.02,0.13,18.2,87,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
14-ENSANCHE DIPUTACION,normal,2024,1,12.3,-1.0,0.11,0.18,0.11,8.1,196,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
14-ENSANCHE DIPUTACION,normal,2024,2,16.0,-1.14,-0.98,0.06,-0.98,19.7,138,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
14-ENSANCHE DIPUTACION,normal,2024,3,18.2,-1.23,1.04,-0.03,1.04,16.3,138,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
14-ENSANCHE DIPUTACION,normal,2024,4,21.4,-0.82,0.52,0.34,0.52,15.1,215,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
